project,task,final_model,model_name,target,feature_set,preprocessing,parameters,hyperparameters,cv_metric,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_rmse,test_r2,notes
Insurance Claim Prediction Using Machine Learning,classification,No,LogisticRegression,insuranceclaim,"age, sex, bmi, children, smoker, region",Numeric features standardized with StandardScaler; modeling-ready dataset used from feature engineering notebook; train/test split 80/20 with random_state=42,"solver=liblinear, max_iter=2000",No grid search used,,0.888059702,0.906040269,0.894039735,0.9,,,,Baseline classifier
Insurance Claim Prediction Using Machine Learning,classification,No,DecisionTreeClassifier(gini),insuranceclaim,"age, sex, bmi, children, smoker, region",Numeric features standardized with StandardScaler; modeling-ready dataset used from feature engineering notebook; train/test split 80/20 with random_state=42,"criterion=gini, random_state=42",No grid search used,,0.98880597,0.986842105,0.993377483,0.99009901,,,,Highest raw classification test metrics in notebook
Insurance Claim Prediction Using Machine Learning,classification,No,DecisionTreeClassifier(entropy),insuranceclaim,"age, sex, bmi, children, smoker, region",Numeric features standardized with StandardScaler; modeling-ready dataset used from feature engineering notebook; train/test split 80/20 with random_state=42,"criterion=entropy, random_state=42",No grid search used,,0.98880597,0.986842105,0.993377483,0.99009901,,,,Matched gini tree performance in notebook
Insurance Claim Prediction Using Machine Learning,classification,Yes,RandomForestClassifier(tuned),insuranceclaim,"age, sex, bmi, children, smoker, region",Numeric features standardized with StandardScaler; modeling-ready dataset used from feature engineering notebook; train/test split 80/20 with random_state=42,random_state=42,"GridSearchCV over n_estimators=[100,200], max_depth=[None,5,10], min_samples_split=[2,5]; best_params={max_depth:None, min_samples_split:2, n_estimators:100}",best_cv_f1=0.9744866640,0.958955224,0.954545455,0.973509934,0.963934426,,,,Chosen as practical final classification model in report because it is robust and has strong diagnostics
Insurance Claim Prediction Using Machine Learning,regression,No,LinearRegression,charges,"age, sex, bmi, children, smoker, region",Numeric features standardized with StandardScaler; same 80/20 split indices used as classification target,Default sklearn LinearRegression,No grid search used,,,,,,,5957.6088,0.806847,Baseline regressor
Insurance Claim Prediction Using Machine Learning,regression,No,DecisionTreeRegressor,charges,"age, sex, bmi, children, smoker, region",Numeric features standardized with StandardScaler; same 80/20 split indices used as classification target,random_state=42,No grid search used,,,,,,,6344.727977,0.780929281,Single tree regression model
Insurance Claim Prediction Using Machine Learning,regression,Yes,RandomForestRegressor(tuned),charges,"age, sex, bmi, children, smoker, region",Numeric features standardized with StandardScaler; same 80/20 split indices used as classification target,random_state=42,"GridSearchCV over n_estimators=[100,200], max_depth=[None,5,10], min_samples_split=[2,5]; best_params={max_depth:5, min_samples_split:5, n_estimators:200}",best_cv_r2=0.8424233061,,,,,,4252.907331,0.901569394,Best regression performance in notebook
